DR_NO,Date_Rptd,DATE_OCC,AREA_NAME,Crm_Cd,Crm_Cd_Desc,Vict_Age,Vict_Sex,Premis_Desc,Status,Location,LAT,LON
10304468,01-08-2020,01-08-2020,Southwest,624,BATTERY - SIMPLE ASSAULT,36,F,SINGLE FAMILY DWELLING,AO,1100 W 39TH PL,34.01,-118.3
190101086,01-02-2020,01-01-2020,Central,624,BATTERY - SIMPLE ASSAULT,25,M,SIDEWALK,IC,700 S HILL ST,34.05,-118.25
191501505,01-01-2020,01-01-2020,N Hollywood,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),76,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,5400 CORTEEN PL,34.17,-118.4
191921269,01-01-2020,01-01-2020,Mission,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31,X,BEAUTY SUPPLY STORE,IC,14400 TITUS ST,34.22,-118.45
200100502,01-02-2020,01-02-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,DEPARTMENT STORE,IC,700 S FIGUEROA ST,34.05,-118.26
200100504,01-04-2020,01-04-2020,Central,946,OTHER MISCELLANEOUS CRIME,0,X,POLICE FACILITY,IC,200 E 6TH ST,34.04,-118.25
200100507,01-04-2020,01-04-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",23,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,700 BERNARD ST,34.07,-118.24
200100509,01-04-2020,01-04-2020,Central,330,BURGLARY FROM VEHICLE,29,M,STREET,IC,800 N ALAMEDA ST,34.04,-118.26
200100510,01-05-2020,01-05-2020,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,35,M,PARKING LOT,IC,800 S OLIVE ST,34.06,-118.24
200100514,01-05-2020,01-05-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",41,M,HOTEL,AA,700 W 7TH ST,34.05,-118.26
200100515,01-07-2020,01-07-2020,Central,648,ARSON,0,X,DEPARTMENT STORE,IC,100 S LOS ANGELES ST,34.05,-118.26
200100520,01-08-2020,01-08-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24,F,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",IC,13600 LEADWELL ST,34.05,-118.24
200914517,09-10-2020,09-09-2020,Van Nuys,354,THEFT OF IDENTITY,40,M,CONDOMINIUM/TOWNHOUSE,IC,8TH,34.2,-118.43
